config,portfolio,model,alpha,alpha_annualized,alpha_tstat,significance,beta_MKT,beta_SMB,beta_HML,r_squared,n_obs
monthly_equal,long,CAPM,-0.0005349697047008888,-0.13481236558462398,-2.4080874085296013,**,0.3665150239917682,,,0.7425638238583515,107
monthly_equal,long,FF3,-0.0004925315340864418,-0.12411794658978333,-2.2822585690088872,**,0.3603984803507341,0.03652055804640256,0.028907327888135808,0.7528786219783625,107
monthly_equal,long,FF5,-0.0004735600968596669,-0.11933714440863606,-2.4167435435893516,**,0.34723889964720894,0.03272070402038853,0.04890408215257499,0.7664067633658758,107
monthly_equal,short,CAPM,-0.0004693752698629706,-0.11828256800546859,-1.500778002015621,,0.4713941359140945,,,0.6623924735789025,107
monthly_equal,short,FF3,-0.0003079141175172146,-0.07759435761433808,-1.1092646038932916,,0.4219484948660071,0.19052403753882385,0.04318577422328895,0.7372830572042002,107
monthly_equal,short,FF5,-0.0002920388680922514,-0.07359379475924735,-1.0799127654868688,,0.42377737967613793,0.21344416129263313,0.04474751631634303,0.7442393893586238,107
monthly_equal,long_short,CAPM,-0.0002655944348379168,-0.06692979757915503,-1.1175761616370972,,-0.1048791119223247,,,0.13738149261400068,107
monthly_equal,long_short,FF3,-0.00038461741656922467,-0.09692358897544462,-1.69225127610672,*,-0.06155001451527203,-0.15400347949241985,-0.01427844633515298,0.31106263569491266,107
monthly_equal,long_short,FF5,-0.00038152122876741317,-0.09614334964938812,-1.744184745713176,*,-0.07653848002892816,-0.18072345727224315,0.00415656583623222,0.3263308061173227,107
monthly_value,long,CAPM,-0.0005264567862516989,-0.13266711013542812,-2.07999979761116,**,0.4435966351955475,,,0.6482648448943605,107
monthly_value,long,FF3,-0.0005805815298956687,-0.14630654553370853,-2.3563740700321376,**,0.4977287082464095,-0.1378736047709536,0.08136632216628702,0.6742912267090928,107
monthly_value,long,FF5,-0.000559556483365174,-0.14100823380802383,-2.4992998780527818,**,0.48266110796570505,-0.14306759055235052,0.10409896667996874,0.6842724236990416,107
monthly_value,short,CAPM,-0.0010127105142284719,-0.25520304958557494,-1.376629917754908,,0.845082919375217,,,0.5494281162887458,107
