return_date,long,short,long_short
2024-07-31,0.006571358317610775,0.002980479983460345,0.0035908783341504296
2024-08-01,-0.005109087149762525,-0.011773738865087794,0.006664651715325268
2024-08-02,-0.005514015821598791,-0.020635404161772713,0.015121388340173922
2024-08-05,-0.028059475209831854,-0.06333294499178363,0.035273469781951776
2024-08-06,0.004758891744285786,0.008410464750731185,-0.003651573006445399
2024-08-07,-0.0029140718788468745,-0.0069293347857257185,0.004015262906878844
2024-08-08,0.012164985018249573,0.020601988860683807,-0.008437003842434234
2024-08-09,-0.00034157140970994396,0.0035810423292404123,-0.003922613738950356
2024-08-12,0.001182284855993366,-0.005123071432063012,0.006305356288056378
2024-08-13,0.006540008943314451,0.01589013738034121,-0.009350128437026758
2024-08-14,0.003757737477887808,0.00381523712490861,-5.749964702080187e-05
2024-08-15,0.006349346237525358,0.014913477366841735,-0.008564131129316376
2024-08-16,0.0007173778137584863,0.0003399479408777924,0.0003774298728806939
2024-08-19,0.004413344956518329,0.020799906338780247,-0.016386561382261917
2024-08-20,-0.0003431444978709441,-0.002413870940966172,0.0020707264430952278
2024-08-21,0.0034931228791561615,0.0019092566855989958,0.0015838661935571657
2024-08-22,-0.0015450148006455964,-0.011134766890813537,0.00958975209016794
2024-08-23,0.006680044858391708,0.009527188903427866,-0.002847144045036158
2024-08-26,-0.0001453648935882513,-0.01331001642706733,0.01316465153347908
2024-08-27,0.0016370284059323181,-0.0012140139804140263,0.0028510423863463445
2024-08-28,-0.0019932203954173703,-0.006450780067581713,0.004457559672164343
2024-08-29,0.0020298030188298294,0.0022567164592391434,-0.00022691344040931408
2024-08-30,0.00441416308989921,0.008970227826828114,-0.004556064736928904
2024-09-03,-0.014713158424378932,-0.05789242676695015,0.04317926834257122
2024-09-04,-0.0005836943502228372,-0.0016609382324626674,0.00107724388223983
2024-09-05,-0.009327558447317596,-0.0026319875986654576,-0.006695570848652138
2024-09-06,-0.0070473820160436036,-0.014823193097900046,0.007775811081856442
2024-09-09,0.011682610103764809,0.017116818496118392,-0.005434208392353583
2024-09-10,-0.0003978474455458954,0.0026707414457812465,-0.003068588891327142
2024-09-11,0.004810000048199986,0.00939547166622955,-0.004585471618029564
2024-09-12,0.005645523788161677,0.0057586668825375855,-0.00011314309437590857
2024-09-13,0.003205845317803182,0.005984354156892117,-0.0027785088390889353
2024-09-16,0.0038803767806036608,0.012532957951428988,-0.008652581170825327
2024-09-17,-0.005205053786605506,0.006153288702320369,-0.011358342488925876
2024-09-18,-0.0009378348248475783,-0.004365693908812227,0.0034278590839646487
2024-09-19,0.006665663396554681,0.014058528297411858,-0.007392864900857177
2024-09-20,0.0006165170601390861,-0.004061601335495575,0.004678118395634661
2024-09-23,0.0032019094513476075,-0.0036849011797287423,0.006886810631076349
2024-09-24,0.001273617274613885,-0.0023301200236923165,0.0036037372983062014
2024-09-25,-0.00046937722134603714,-0.0010662268881086552,0.000596849666762618
2024-09-26,-0.00045110481350598385,0.0035438110069358634,-0.003994915820441847
2024-09-27,-0.004344658103830935,0.00264421616842091,-0.006988874272251845
2024-09-30,0.0044705100228319555,0.007899123833092403,-0.0034286138102604478
2024-10-01,-0.0032123549808522472,-0.003889368421415965,0.0006770134405637176
2024-10-02,0.0025614317737800386,-0.002102878060458934,0.004664309834238973
2024-10-03,-0.0024965292422219933,-0.0027944385678475613,0.000297909325625568
2024-10-04,0.005612999894987094,0.008161196088401093,-0.002548196193413999
2024-10-07,-0.007428558530188278,-0.019071000601414485,0.011642442071226208
2024-10-08,0.007928021856403213,0.0021534168170590337,0.005774605039344179
2024-10-09,0.005585451131876859,0.0034804700189359095,0.0021049811129409497
2024-10-10,-0.004209284938740472,-0.0009479288565551942,-0.003261356082185278
2024-10-11,0.007294912784753176,0.009626785640470743,-0.0023318728557175667
2024-10-14,0.006864790053666871,0.007611385974412403,-0.000746595920745532
2024-10-15,-0.007994670053484063,-0.004708119221729884,-0.0032865508317541795
2024-10-16,0.0035196928480897513,0.004457437710158495,-0.000937744862068744
2024-10-17,-0.0017821369434331312,-0.00496847643087772,0.003186339487444589
2024-10-18,-1.4115387961954512e-05,0.0012848677624236115,-0.001298983150385566
2024-10-21,-0.008922569287258039,-0.01094698002500067,0.0020244107377426317
2024-10-22,-0.002230753599088574,0.002631426134217235,-0.00486217973330581
2024-10-23,-0.0014765798444125917,-0.0023394574444456895,0.0008628776000330978
2024-10-24,-0.0025069486469568225,0.003236291830455076,-0.005743240477411898
2024-10-25,-0.0007593742224775975,-0.0007094177821641796,-4.995644031341787e-05
2024-10-28,0.0015980239272828883,0.008366323519947216,-0.0067682995926643275
2024-10-29,-0.0005075758075629053,-0.0001484248253453142,-0.00035915098221759114
2024-10-30,-0.0010007196916519145,0.0035621452270938117,-0.004562864918745726
2024-10-31,-0.0009598914243628562,-0.0030595386946899394,0.0020996472703270833
2024-11-01,-0.0005796508167516303,0.002012507838039076,-0.0025921586547907063
2024-11-04,-0.0030408010591194733,0.0026528043663675113,-0.005693605425486985
2024-11-05,0.0018236403052243261,0.003106932471787201,-0.001283292166562875
2024-11-06,0.007715558007272551,0.003980283756966313,0.0037352742503062378
2024-11-07,-0.0006134612162680977,0.0006056649495999594,-0.0012191261658680572
2024-11-08,0.0005893236705476117,0.003626903427052264,-0.0030375797565046526
2024-11-11,-0.002627602083525046,0.001989951822727727,-0.004617553906252772
2024-11-12,-0.0007595103589202835,-0.0016121641864615577,0.0008526538275412742
2024-11-13,-0.002975114314581299,0.0011546571813584225,-0.0041297714959397215
