Ticker,Data_Points,Avg_RET,Avg_RET_Pct,Avg_Score,Correlation,Date_Start,Date_End,RET_StdDev,Score_StdDev,Min_RET,Max_RET,Min_Score,Max_Score
ACCO,52,-0.002749846,-0.274984615,0.2767307692307692,0.10762209776542951,2020-06-04,2021-06-30,0.027606626,0.30809803096052013,-0.055072,0.075721,-0.53,0.76
AIN,30,-0.001844,-0.1844,0.3203333333333333,-0.287668945,2020-10-08,2021-06-10,0.023170269,0.3528258663335542,-0.046975,0.039631,-0.62,0.76
AIV,38,-0.004186895,-0.418689474,0.1405263157894737,0.2599994989460831,2020-06-05,2021-06-29,0.034377210206126205,0.46785275674240195,-0.083333,0.05525,-0.85,0.72
ALF,3,0.29855533333333334,29.855533333333334,0.24333333333333337,0.23805182599243396,2021-06-22,2021-06-24,0.7040123593612071,0.7830921614556828,-0.262738,1.088462,-0.66,0.73
ALKS,68,0.006728353,0.6728352941176471,0.3811764705882353,-0.111669607,2020-02-06,2021-07-01,0.026672386265526635,0.2766188681996833,-0.051596,0.126975,-0.25,0.77
AMT,104,0.001598029,0.15980288461538464,0.34471153846153846,0.072381224,2020-10-20,2021-07-01,0.014662486427017103,0.304318295,-0.038354,0.051052,-0.51,0.76
ANET,58,0.00725719,0.7257189655172415,0.38034482758620686,0.16742793645241938,2020-05-15,2021-06-29,0.019976643817882864,0.34537020827258746,-0.028698,0.065993,-0.57,0.76
ATOM,42,-0.017650143,-1.765014286,0.24738095238095234,-0.151293428,2020-01-30,2021-07-01,0.07157497,0.28085287810619686,-0.247971,0.109836,-0.68,0.76
AUB,42,-0.0005505,-0.05505,0.33285714285714285,-0.131525313,2020-01-08,2021-05-27,0.042697067,0.27106191997388773,-0.075422,0.116785,-0.22,0.76
AXSM,69,-0.000429217,-0.042921739,0.4439130434782609,0.1255130316293957,2020-01-14,2021-06-29,0.034356272469465654,0.3295059465289723,-0.069851,0.076181,-0.68,0.77
AYRO,28,0.025802857142857148,2.580285714285715,0.2525,-0.041286377,2020-06-18,2021-06-29,0.077903523,0.3556905125818522,-0.179245,0.175595,-0.41,0.76
BCML,22,0.014189045454545452,1.4189045454545453,0.2031818181818182,0.078923332,2020-06-05,2021-07-01,0.024262931561338925,0.36913523607320736,-0.04355,0.07455,-0.63,0.74
BGFV,47,0.041180617021276594,4.118061702127659,0.25574468085106383,0.010015559058086666,2020-01-14,2021-06-14,0.1297720113120721,0.2938185234108845,-0.206133,0.472036,-0.68,0.76
BGSF,27,0.003442,0.3442,0.337037037,0.11911223691680217,2020-12-03,2021-06-29,0.027241589481187375,0.3478927201442202,-0.040435,0.05547,-0.53,0.77
BIPC,33,0.006538061,0.6538060606060607,0.333030303,0.022001229,2020-09-02,2021-06-23,0.022933871638009837,0.31729801496862586,-0.060347,0.053895,-0.57,0.77
BLDR,74,0.005511703,0.5511702702702703,0.3627027027027027,-0.03049127,2020-01-10,2021-07-01,0.026863194015323718,0.3504060161540879,-0.060763,0.065378,-0.61,0.82
BLMN,48,0.006700208,0.6700208333333335,0.26437499999999997,-0.13180954,2020-10-27,2021-06-30,0.027784292,0.357431179,-0.059431,0.08966,-0.7,0.8
BLNK,199,0.004183774,0.41837738693467336,0.2533165829145729,-0.019705863,2020-01-08,2021-06-29,0.071457955,0.519640567,-0.186335,0.325069,-0.82,0.77
BRX,35,0.005869286,0.5869285714285714,0.20685714285714285,-0.096862177,2020-11-05,2021-07-01,0.018531040646584805,0.3142757446852668,-0.03187,0.035651,-0.61,0.76
CAMP,48,0.003803,0.3803,0.4522916666666667,0.28729354469736124,2020-12-14,2021-06-30,0.062160368,0.2851221431681915,-0.117318,0.219203,-0.41,0.76
CERN,109,-0.00089956,-0.089955963,0.33972477064220186,0.068226346,2020-01-08,2021-06-30,0.012891471,0.3070241235412773,-0.03924,0.058946,-0.63,0.77
CLVT,36,-0.003236806,-0.323680556,0.34583333333333327,0.16276982400332252,2021-02-11,2021-07-01,0.038946074172094086,0.2946802140820258,-0.195917,0.040584,-0.7,0.77
CNA,42,-0.001484643,-0.148464286,0.3057142857142857,0.046348048363469105,2020-05-19,2021-06-24,0.010058807,0.32187819887791713,-0.018882,0.029847,-0.67,0.76
CNSP,20,-0.006538111,-0.653811111,0.43599999999999994,-0.224224516,2020-02-13,2021-06-30,0.05521167,0.3272115041086615,-0.079812,0.146789,-0.63,0.7
CNX,46,-0.005861457,-0.586145652,0.3669565217391305,-0.095734885,2020-05-13,2021-05-19,0.031641033524843806,0.38232545510754107,-0.069414,0.061571,-0.6,0.77
CPF,26,0.022255307692307696,2.2255307692307698,0.3161538461538461,0.3569343598964354,2020-07-31,2021-06-29,0.030599462260332916,0.3796638189037973,-0.023552,0.091153,-0.72,0.76
CVX,429,0.000130093,0.013009324009323982,0.1925874125874126,-0.019794003,2020-04-21,2021-07-01,0.019024007,0.4580199868410327,-0.084136,0.071772,-0.78,0.78
DAL,387,-0.001761845,-0.176184496,0.19162790697674417,-0.049183266,2020-03-26,2021-07-01,0.022247979,0.44626218048021393,-0.074042,0.0605,-0.76,0.77
DIS,694,-0.00220504,-0.220504035,0.2645100864553314,-0.002021955,2020-04-23,2021-07-01,0.013262518353312953,0.4056188748262195,-0.039251,0.087987,-0.72,0.8
DOC,28,-0.00057725,-0.057725,0.29035714285714287,-0.166868786,2020-04-07,2021-06-25,0.012824854213668548,0.2740300354294403,-0.026346,0.023205,-0.72,0.74
DRI,141,0.008666149,0.8666148936170213,0.4378723404255319,0.12185479894881208,2020-07-14,2021-06-30,0.022515342756800994,0.2851636335024864,-0.059726,0.081908,-0.53,0.77
DVA,71,-0.001494479,-0.149447887,0.40014084507042247,0.071636879,2020-08-14,2021-06-30,0.020135217190541094,0.3112486050811954,-0.07359,0.03432,-0.62,0.75
EBMT,30,-0.002653,-0.2653,0.2886666666666667,0.04369725,2020-01-03,2021-06-30,0.024359698,0.4943036434763788,-0.080108,0.052917,-0.72,0.77
EGAN,61,-0.003729361,-0.372936066,0.34950819672131145,-0.144603764,2020-01-08,2021-06-29,0.08716669,0.3484557658656653,-0.275679,0.14,-0.68,0.76
EGBN,61,0.006451049,0.6451049180327868,0.3865573770491803,0.045879213,2020-01-03,2021-07-01,0.030082343354768882,0.23621237087207236,-0.071366,0.086821,-0.01,0.77
ESE,51,0.004039294,0.40392941176470587,0.3754901960784315,0.037183781,2020-01-03,2021-06-25,0.019731662973296614,0.31217503888357373,-0.032398,0.068338,-0.61,0.78
ESEA,24,-0.027866958,-2.786695833,0.225,0.365390043,2020-02-13,2021-07-01,0.082324223,0.28044994903376874,-0.191176,0.120787,-0.63,0.66
FFIN,30,-0.000585367,-0.058536667,0.3656666666666667,-0.06888718,2020-08-20,2021-06-29,0.021540371109861938,0.3572373241237909,-0.043464,0.037906,-0.72,0.76
FHTX,20,0.02149535,2.149535,0.286,-0.113761296,2020-10-29,2021-07-01,0.091675182,0.25012417968512735,-0.099738,0.366102,-0.23,0.76
FND,80,0.002089825,0.20898250000000002,0.40650000000000003,0.034918588,2020-07-06,2021-06-30,0.027909416175551337,0.27734318182772966,-0.056188,0.05781,-0.49,0.77
FORD,12,0.050786333,5.078633333333333,0.4891666666666667,0.34621477513031856,2020-01-10,2021-06-24,0.10878267755177444,0.26568807183453214,-0.065421,0.291971,0.04,0.74
FORM,55,-0.000326073,-0.032607273,0.3038181818181818,0.21896409506509976,2020-01-08,2021-06-25,0.053048261889303165,0.2931659301935725,-0.182406,0.080244,-0.55,0.77
FUNC,28,-0.00304925,-0.304925,0.20285714285714287,-0.24638575,2020-06-03,2021-06-29,0.026204931,0.33935513074345103,-0.072632,0.059538,-0.57,0.75
GBDC,32,-3.39E-05,-0.0033875,0.3034375,-0.143635844,2020-10-12,2021-06-30,0.014504935953534198,0.3316586797276828,-0.022652,0.024456,-0.54,0.73
HOV,35,0.010724742857142859,1.072474285714286,0.18,0.13103025205987967,2020-02-21,2021-06-29,0.067805757,0.33026727144577206,-0.125749,0.16629,-0.65,0.73
HRTG,32,0.006480469,0.648046875,0.1440625,0.073847468,2020-09-03,2021-06-23,0.026292300753304527,0.3760307071795274,-0.035992,0.084198,-0.66,0.74
HUBS,61,0.006737836,0.6737836065573772,0.3985245901639345,-0.029328213,2020-03-24,2021-06-30,0.040399093,0.328723978,-0.077944,0.197556,-0.5,0.76
IGMS,48,0.015912270833333336,1.5912270833333335,0.3277083333333333,-0.019224938,2020-01-08,2021-06-04,0.099495624,0.2221006057578731,-0.203932,0.577482,0.03,0.74
IMVT,96,0.006623135,0.6623135416666666,-0.193125,-0.044605231,2020-02-11,2021-06-29,0.038460267,0.41094579614399396,-0.07181,0.186147,-0.7,0.73
INMD,54,-0.001728556,-0.172855556,0.48499999999999993,-0.057424894,2020-05-07,2021-06-17,0.04403466,0.23844425004046227,-0.100424,0.077297,-0.2,0.78
INVA,37,0.002284676,0.22846756756756764,0.4108108108108107,-0.040027103,2020-03-31,2021-06-11,0.023899159621503727,0.2349394529374463,-0.038866,0.105442,0.03,0.74
IRIX,22,0.059694454545454544,5.969445454545454,0.20454545454545456,-0.134006472,2020-01-14,2021-05-12,0.14471744208752096,0.23961729949327576,-0.083815,0.487288,-0.04,0.72
JCI,84,0.002913369,0.29133690476190477,0.4346428571428572,0.043417764,2020-02-11,2021-07-01,0.012259627735439625,0.2778464793603532,-0.036654,0.040191,-0.53,0.79
JHG,68,0.001019426,0.10194264705882354,0.33867647058823536,0.032945642521711456,2020-10-01,2021-07-01,0.020581864341468976,0.28942508329633193,-0.08819,0.036806,-0.55,0.75
JJSF,59,0.009296915,0.9296915254237287,0.188135593,-0.029371812,2020-01-17,2021-06-23,0.034717840921013966,0.3817675523877161,-0.040204,0.159934,-0.72,0.76
LOPE,82,-0.004627195,-0.462719512,-0.102804878,-0.158779718,2020-01-15,2021-05-13,0.039425576672528925,0.4408641189005242,-0.160322,0.072236,-0.7,0.76
LPX,85,-0.001293706,-0.129370588,0.4398823529411765,-0.129347706,2020-12-08,2021-06-29,0.028263813768805216,0.26210000871008443,-0.057882,0.074836,-0.53,0.78
LRCX,168,0.002369327,0.23693273809523818,0.3794047619047619,-0.121254193,2020-01-09,2021-07-01,0.029553318,0.34394454082426895,-0.153336,0.074573,-0.7,0.78
MIRM,38,-0.002713632,-0.271363158,0.33473684210526317,0.13604651574037352,2020-06-23,2021-06-25,0.059815511606317144,0.31641348966789046,-0.2275,0.054802,-0.54,0.76
MMLP,16,0.012635625,1.2635625,0.094375,0.1422654653891678,2020-01-15,2021-07-01,0.10805859806782306,0.2001988594706107,-0.199446,0.333333,-0.32,0.7
MPAA,34,-0.004889971,-0.488997059,0.2979411764705882,0.016655367,2020-06-01,2021-06-15,0.035050282,0.31143635384383705,-0.129228,0.040816,-0.62,0.71
MRK,326,0.001514371,0.1514371165644172,0.2860122699386503,0.013284310106400745,2020-01-03,2021-07-01,0.012459878377735717,0.43140848374711566,-0.044234,0.028363,-0.8,0.83
NWE,25,0.00021036,0.021036000000000006,0.1348,-0.057710902,2020-07-31,2021-06-22,0.015182313347225229,0.3050289603737105,-0.017922,0.042963,-0.53,0.76
PAVM,64,-0.00476575,-0.476575,0.373125,0.19974426762148753,2020-01-14,2021-06-15,0.06342236,0.24990712560583667,-0.196396,0.124722,-0.34,0.76
PBFS,9,0.010869,1.0869,0.22111111111111112,-0.331893211,2020-06-02,2021-06-29,0.031118630545060942,0.24725717605584493,-0.030631,0.085633,-0.15,0.72
PETZ,8,0.027651999999999996,2.7651999999999997,0.0625,0.4214015688211696,2020-05-12,2021-07-01,0.041452886354786646,0.3301839314252415,-0.02834,0.11236,-0.57,0.44
PFBC,25,0.00018216,0.018216,0.3124,0.059133955,2020-01-08,2021-07-01,0.031823802774914665,0.2940277764656485,-0.061053,0.064736,-0.58,0.74
PK,43,-0.005354907,-0.535490698,0.17093023255813952,0.24645704957086698,2020-03-10,2021-07-01,0.029817271,0.2689469230118904,-0.055046,0.040411,-0.61,0.64
POOL,114,0.007491965,0.7491964912280703,0.3675438596491228,-0.006270196,2020-01-31,2021-07-01,0.017869927725626424,0.29334072551411655,-0.040861,0.064278,-0.63,0.85
PYPL,440,0.002951325,0.29513249999999996,0.39622727272727276,0.11161164966387156,2020-05-29,2021-07-01,0.019809940768794713,0.36240256650750124,-0.062691,0.069309,-0.78,0.82
REKR,59,0.000848678,0.084867797,0.1920338983050848,0.049654623,2020-05-06,2021-07-01,0.061180029,0.4676676526272172,-0.178702,0.18743,-0.63,0.76
RNGR,1,-0.011299,-1.1299,-0.01,,2020-05-07,2020-05-07,,,-0.011299,-0.011299,-0.01,-0.01
ROK,68,0.004475162,0.44751617647058806,0.3907352941176471,-0.109532758,2020-09-03,2021-07-01,0.014439823092530977,0.24548043771937772,-0.035778,0.046505,-0.21,0.77
RTX,161,0.001447727,0.1447726708074534,0.3116770186335404,0.22933286630046337,2020-06-11,2021-06-30,0.016959891314137148,0.4305915059903712,-0.080603,0.047491,-0.72,0.77
SBNY,48,0.003963792,0.39637916666666667,0.43062500000000004,-0.01536191,2020-08-12,2021-06-29,0.024515047271454142,0.2669800076187075,-0.052957,0.058575,-0.41,0.76
SGC,50,-0.00453262,-0.453262,0.3074,-0.210223669,2020-01-03,2021-06-29,0.031946954,0.27025921041904666,-0.100666,0.060718,-0.51,0.77
SJ,29,-0.010739621,-1.073962069,0.4806896551724138,0.16872144693204333,2020-05-14,2021-05-27,0.073678603,0.22106771804266478,-0.126605,0.264588,0.04,0.77
SKIL,2,0.029599999999999998,2.96,0.365,0.9999999999999999,2021-06-16,2021-06-22,0.053428988386455524,0.06363961,-0.00818,0.06738,0.32,0.41
SLNG,8,0.003767571,0.3767571428571429,0.49,0.147968349,2021-04-29,2021-06-02,0.024000706,0.2574601217387157,-0.036043,0.039735,0.11,0.77
SNGX,5,-0.0252578,-2.52578,0.178,-0.181450809,2020-12-23,2021-06-24,0.048390924,0.4577881606158027,-0.1,0.017553,-0.57,0.64
SO,134,0.002672567,0.26725671641791043,0.28753731343283584,-0.03022091,2020-02-28,2021-07-01,0.012578314318877454,0.33696441562015395,-0.066391,0.038865,-0.61,0.76
STAA,74,0.012467459459459459,1.2467459459459458,-0.087567568,0.000810579,2020-08-18,2021-07-01,0.035215169540392784,0.5128935129693657,-0.074613,0.163752,-0.72,0.77
SWKS,105,-0.004768,-0.4768,0.42295238095238097,0.060342123,2020-11-03,2021-07-01,0.031683937,0.34714473763038506,-0.083544,0.045156,-0.58,0.85
