config,model,gross_alpha_annual,avg_turnover,rebal_freq,cost_scenario,cost_bps,tc_annual,net_alpha_annual,alpha_remains_positive
monthly_equal,CAPM,-0.06692979757915081,0.6623405398244453,12,low,10,0.007948086477893343,-0.07487788405704415,False
monthly_equal,CAPM,-0.06692979757915081,0.6623405398244453,12,base,20,0.015896172955786686,-0.0828259705349375,False
monthly_equal,CAPM,-0.06692979757915081,0.6623405398244453,12,high,50,0.039740432389466715,-0.10667022996861752,False
monthly_equal,FF3,-0.0969235889754384,0.6623405398244453,12,low,10,0.007948086477893343,-0.10487167545333174,False
monthly_equal,FF3,-0.0969235889754384,0.6623405398244453,12,base,20,0.015896172955786686,-0.11281976193122509,False
monthly_equal,FF3,-0.0969235889754384,0.6623405398244453,12,high,50,0.039740432389466715,-0.13666402136490513,False
monthly_equal,FF5,-0.0961433496493848,0.6623405398244453,12,low,10,0.007948086477893343,-0.10409143612727814,False
monthly_equal,FF5,-0.0961433496493848,0.6623405398244453,12,base,20,0.015896172955786686,-0.11203952260517148,False
monthly_equal,FF5,-0.0961433496493848,0.6623405398244453,12,high,50,0.039740432389466715,-0.1358837820388515,False
monthly_value,CAPM,0.0721359394501284,0.691188361591372,12,low,10,0.008294260339096464,0.06384167911103195,True
monthly_value,CAPM,0.0721359394501284,0.691188361591372,12,base,20,0.016588520678192928,0.055547418771935475,True
monthly_value,CAPM,0.0721359394501284,0.691188361591372,12,high,50,0.04147130169548232,0.030664637754646083,True
monthly_value,FF3,0.054657138543966,0.691188361591372,12,low,10,0.008294260339096464,0.046362878204869534,True
monthly_value,FF3,0.054657138543966,0.691188361591372,12,base,20,0.016588520678192928,0.03806861786577307,True
monthly_value,FF3,0.054657138543966,0.691188361591372,12,high,50,0.04147130169548232,0.013185836848483679,True
monthly_value,FF5,0.0505740706628472,0.691188361591372,12,low,10,0.008294260339096464,0.042279810323750736,True
monthly_value,FF5,0.0505740706628472,0.691188361591372,12,base,20,0.016588520678192928,0.03398554998465427,True
monthly_value,FF5,0.0505740706628472,0.691188361591372,12,high,50,0.04147130169548232,0.00910276896736488,True
weekly_equal,CAPM,-0.046166281623100804,0.7799381048422238,52,low,10,0.04055678145179564,-0.08672306307489644,False
weekly_equal,CAPM,-0.046166281623100804,0.7799381048422238,52,base,20,0.08111356290359129,-0.12727984452669208,False
weekly_equal,CAPM,-0.046166281623100804,0.7799381048422238,52,high,50,0.2027839072589782,-0.248950188882079,False
weekly_equal,FF3,-0.0393777931063608,0.7799381048422238,52,low,10,0.04055678145179564,-0.07993457455815645,False
weekly_equal,FF3,-0.0393777931063608,0.7799381048422238,52,base,20,0.08111356290359129,-0.12049135600995209,False
weekly_equal,FF3,-0.0393777931063608,0.7799381048422238,52,high,50,0.2027839072589782,-0.24216170036533902,False
weekly_equal,FF5,-0.0363442686022332,0.7799381048422238,52,low,10,0.04055678145179564,-0.07690105005402884,False
weekly_equal,FF5,-0.0363442686022332,0.7799381048422238,52,base,20,0.08111356290359129,-0.11745783150582448,False
weekly_equal,FF5,-0.0363442686022332,0.7799381048422238,52,high,50,0.2027839072589782,-0.2391281758612114,False
weekly_value,CAPM,0.3349430332449012,0.7897515233416137,52,low,10,0.041067079213763916,0.2938759540311373,True
weekly_value,CAPM,0.3349430332449012,0.7897515233416137,52,base,20,0.08213415842752783,0.25280887481737335,True
weekly_value,CAPM,0.3349430332449012,0.7897515233416137,52,high,50,0.2053353960688196,0.12960763717608162,True
weekly_value,FF3,0.3344985112241808,0.7897515233416137,52,low,10,0.041067079213763916,0.2934314320104169,True
weekly_value,FF3,0.3344985112241808,0.7897515233416137,52,base,20,0.08213415842752783,0.2523643527966529,True
weekly_value,FF3,0.3344985112241808,0.7897515233416137,52,high,50,0.2053353960688196,0.1291631151553612,True
weekly_value,FF5,0.3548407090851756,0.7897515233416137,52,low,10,0.041067079213763916,0.3137736298714117,True
weekly_value,FF5,0.3548407090851756,0.7897515233416137,52,base,20,0.08213415842752783,0.2727065506576478,True
weekly_value,FF5,0.3548407090851756,0.7897515233416137,52,high,50,0.2053353960688196,0.14950531301635603,True
