config,model,base,high,low
monthly_equal,CAPM,-0.0828259705349375,-0.10667022996861752,-0.07487788405704415
monthly_equal,FF3,-0.11281976193122509,-0.13666402136490513,-0.10487167545333174
monthly_equal,FF5,-0.11203952260517148,-0.1358837820388515,-0.10409143612727814
monthly_value,CAPM,0.055547418771935475,0.030664637754646083,0.06384167911103195
monthly_value,FF3,0.03806861786577307,0.013185836848483679,0.046362878204869534
monthly_value,FF5,0.03398554998465427,0.00910276896736488,0.042279810323750736
weekly_equal,CAPM,-0.12727984452669208,-0.248950188882079,-0.08672306307489644
weekly_equal,FF3,-0.12049135600995209,-0.24216170036533902,-0.07993457455815645
weekly_equal,FF5,-0.11745783150582448,-0.2391281758612114,-0.07690105005402884
weekly_value,CAPM,0.25280887481737335,0.12960763717608162,0.2938759540311373
weekly_value,FF3,0.2523643527966529,0.1291631151553612,0.2934314320104169
weekly_value,FF5,0.2727065506576478,0.14950531301635603,0.3137736298714117
