intercept,slope,t_stat,r_squared,n_obs,period,date
0.0013263232262720438,0.001864278069365808,2.6891901292767657,0.0006005318370716495,12037,2024-07,2024-07-01
-0.0015468351003453122,0.00302897032269707,4.611003543147491,0.0018173244474309902,11680,2024-08,2024-08-01
0.0009699790139134152,0.0012984586824854062,2.1648874436379613,0.0004313337717885002,10863,2024-09,2024-09-01
-0.000300544760833056,0.0013867270342109985,2.2611318698649954,0.000500848440303514,10205,2024-10,2024-10-01
0.0045490422750309465,-0.00019606442160573903,-0.19180105420423157,6.149685416456663e-06,5984,2024-11,2024-11-01
-0.00336465982134095,0.0011205516869894514,1.6105748925094545,0.0003660880798622701,7085,2024-12,2024-12-01
