portfolio,frequency,weighting,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,mean_daily_return,n_days,avg_turnover
long,monthly,equal,-0.009891587965687676,-0.023140123460917206,0.06495786385431802,-0.32810292333620306,-0.03683467345933316,-8.457486120744772e-05,107,0.6623405398244453
short,monthly,equal,0.0039918117312409684,0.009426716170100713,0.0884572284241647,0.150049906764758,-0.0442634473116493,5.267063046712228e-05,107,0.6623405398244453
long_short,monthly,equal,-0.014966652197431762,-0.03489174477535806,0.04321472290794867,-0.8003259439071883,-0.043921746224473014,-0.00013724549167456988,107,0.6623405398244453
